model,INVENTORY_ID,PLOT_ID,AGE,MUNICIPALITY,SPECIE_IFN_ID,BASAL_AREA,DENSITY,MEAN_DBH,MEAN_H,QM_DBH,DOMINANT_H
Ppin_gal_coast,IFN3,27_9_A_1_IFN3,10,25,26,19.2641013888889,834.679257104162,15.7919491525424,17.7648305084746,17.1423211301391,22.1875
Ppin_gal_coast,IFN3,36_1001_A_1_IFN3,25,45,26,11.92765625,417.339628552081,17.7402542372881,10.1737288135593,19.0760215311691,12.2567567567568
Ppin_gal_coast,IFN3,36_1020_A_1_IFN3,10,57,26,23.2135756944444,1099.93749559065,15.7979099678457,14.604501607717,16.3923824066128,17.625
Ppin_gal_coast,IFN3,36_1087_A_1_IFN3,10,33,26,7.6702,541.126806512444,13.2058823529412,7.35294117647059,13.4341093533456,8.25
Ppin_gal_coast,IFN3,36_1090_A_1_IFN3,10,33,26,8.35302777777778,1287.38665078778,8.90549450549451,6.56593406593407,9.08913431726931,8
Ppin_gal_coast,IFN3,36_1120_A_1_IFN3,10,37,26,15.972675,1559.71844230057,11.2367346938776,13.6428571428571,11.4188083298333,18
Ppin_gal_coast,IFN3,36_1226_A_4_IFN3,25,13,26,32.22691,379.142442210026,32.4692537313433,20.7365671641791,32.8975223628154,22.0179487179487
Ppin_gal_coast,IFN3,36_1240_A_4_IFN3,5,9,26,1.10600277777778,14.1471060526129,31.55,15.5,31.55,15.5
Ppin_gal_coast,IFN3,36_1249_A_4_IFN3,10,9,26,1.74363611111111,141.471060526129,10.045,6.7,12.5270607087217,6.7
Ppin_gal_coast,IFN3,36_1369_A_1_IFN3,18,55,26,32.34810625,1160.06269631426,18.50625,14.4634146341463,18.8425101976563,14.5625
Ppin_gal_coast,IFN3,36_1416_A_1_IFN3,5,55,26,0.585225,31.8309886183791,15.3,13.5,15.3,13.5
Ppin_gal_coast,IFN3,36_1509_A_1_IFN3,9,9,26,0.6241,127.323954473516,7.9,7,7.9,7
Ppin_gal_coast,IFN3,36_1511_A_3E_IFN3,30,9,26,31.7094626944444,511.983768044062,26.6478999723681,21.3596297319702,28.0815712811861,23.4381720430108
Ppin_gal_coast,IFN3,36_1512_A_1_IFN3,30,14,26,37.2457324722222,682.173453856995,25.1992223143924,21.1949398589797,26.3661010038333,23.3834196891192
Ppin_gal_coast,IFN3,36_1514_A_1_IFN3,30,14,26,16.1858538888889,339.813487383762,21.4136136552873,15.1852622814321,24.6264925244127,24.6675531914894
Ppin_gal_coast,IFN3,36_1518_A_4_IFN3,10,50,26,5.62775625,795.774715459477,9.382,5.58,9.48915696993152,5.5
